kraj;omembe
London;97
Nemčija;94
Norveška;73
Ljubljana;72
Pariz;61
Berlin;59
Švedska;59
Anglija;55
Zagreb;54
Beograd;53
Italija;43
Jugoslavija;42
Rim;42
Danska;41
Francija;41
Stockholm;41
Hrvatska;37
Narvik;28
Maribor;27
Moskva;22
Madžarska;21
Oslo;21
Rumunija;18
Amerika;17
Bergen;15
Celje;15
Amsterdam;14
Belgija;14
Finska;14
Poljska;14
Rusija/SZ;14
Stavanger;14
Washington;13
Rusija/Sz.;12
Budinpešta;11
Bukarešta;11
Turčija;11
Sarajevo;10
Ankara;9
Hamar;9
Namsos;9
New York;9
Split;9
Bruselj;8
Kristiansand;8
Sofija;8
Trondhjem;8
Bolgarija;7
Grčija;7
Nizozemska;7
Švica;7
Elverum;6
Rusija;6
Slovenija;6
Trojane;6
Avstrija;5
Bern;5
Curih;5
Rusija/S.Z;5
Srbija;5
Velika Britanija;5
Budimpešta;4
Carigrad;4
Japonska;4
Madžarskadunaj;4
Skandinavija;4
Stocholm;4
Varšava;4
Basel;3
Dunaj;3
Goteborg;3
Kitajska;3
Kodanj;3
Lillehamm;3
Litva;3
Milan;3
Murska Sobota;3
Novi Sad;3
Praga;3
Romunija;3
SZ;3
Skagerak;3
Trondheim;3
VB;3
Andalsnes;2
Bled;2
Dubrovnik;2
Egipt;2
Grong;2
Haag;2
Hamburg;2
Harstad;2
Jesenice;2
Kanada;2
Kategat;2
Kongsvinger;2
Kozina;2
Krakov;2
Kranj;2
Libija;2
Lublin;2
Malta;2
Milano;2
Moravska;2
Nanking;2
Ptuj;2
Radomlje;2
Rakovnik;2
Sylt;2
Trst;2
Vel.Britanija;2
Veli.Belt;2
Washingtom;2
Zelenica;2
Češkoslovaška;2
Ženeva;2
Aaland;1
Aarendal;1
Ada;1
Afrika;1
Ajševica;1
Albanija;1
Aleksandrija;1
Alesund;1
Alžirija;1
Angers;1
Anvaldsnes;1
Apatin;1
Askim;1
Atene;1
Avaldsnes;1
Avstralija;1
Banjaluka;1
Banksun;1
Barje;1
Bejrut;1
Belin pri Ogleju;1
Besarabija;1
Bosanska Krajina;1
Bosanski Šamec;1
Bovec;1
Bratislava;1
Brazilija;1
Brdo pri Ljubljani;1
Brezovica;1
Brezovica pri Ljubljani;1
Brugger;1
Capetown;1
Ceylon;1
Chichago;1
Diedenhofen;1
Dobrna;1
Domžale;1
Dramen;1
Dramlje pri Celju;1
Egersund;1
Emden;1
Estonija;1
Frankfurt;1
Frederikstad;1
Freiheim;1
Gdansk;1
Genova;1
Gibraltar;1
Gjedseru;1
Gorica;1
Gorje;1
Gornja Šiška;1
Gornji Bužlej;1
Grenlandija;1
Haagu;1
Haegeland;1
Halden;1
Hamara;1
Helsinki;1
Henefos;1
Hercegovina;1
Hong Kong;1
Hoče;1
Hrastnik;1
Hrpelje;1
Indija;1
Islandija;1
Ježica;1
Jutlandija;1
Kamenpotok;1
Kanal;1
Klajpeda;1
Klanec;1
Knjaževec;1
Kobarid;1
Kodeljevo;1
Koper;1
Koroška;1
Korsoru;1
Kotlje;1
Kovno;1
Košaki;1
Križevci;1
Krstinja;1
Krčevina;1
Lavanger;1
Lavrica;1
Laško;1
Lenden;1
Letonije;1
Leše pri Prevaljah;1
Lillehamer;1
Lokovica;1
Mala Slivnica;1
Malmo;1
Malmoj;1
Mehika;1
Melj;1
Mellerud;1
Meraker;1
Mertzig;1
Mežica;1
Middelfart;1
Molvena;1
Mostar;1
Moste;1
Neapel;1
Nizoz.Indija;1
Nyborg;1
Ojstrica;1
Oppiani v Gorici;1
Osjek;1
Ottawa;1
Ozlje;1
Palestina;1
Pameče;1
Panama;1
Peca;1
Peking;1
Petrovgrad;1
Petrovgradu;1
Pletovar;1
Podbrežje;1
Podnart;1
Podsmreka;1
Poljanca;1
Polje;1
Povir pri Sežani;1
Pragersko;1
Preški vrh;1
Radoboj;1
Radom;1
Radovljica;1
Rakek;1
Rižana;1
Rodik;1
Roros;1
Rotterdam;1
Semič;1
Singapur;1
Sirija;1
Skoplje;1
Slovenj Gradec;1
Slovenjske Konjice;1
Slovenska Bistrica;1
Slovenska vas;1
Sodražica;1
Spezla;1
Sremski Karlovci;1
Stara cerkev;1
Studenice pri Poljčanah;1
Subotica;1
Sušak;1
Sydney;1
Tabor;1
Tirana;1
Tjernes;1
Tokio;1
Tolsti vrh;1
Transilvanija;1
Trbovlje;1
Trnovo;1
Tronheim;1
Tublje;1
Tunis;1
V.Afrika;1
Varaždin;1
Vatikan;1
Vače;1
Vel.Brit.;1
Velike Lašče;1
Veliki Gaber;1
Veržej;1
Videm;1
Vinkovci;1
Vitovlje nad Šempasom;1
Vič;1
Vojnik;1
Vojsko nad Idrijo;1
Vojvodina;1
Westerland;1
Zadušnica;1
Zagorje;1
Zaluka;1
Zgonik na Krasu;1
Zidani most;1
berlin;1
moskva;1
sv. Jožef v Studencih;1
Češka;1
Češko;1
Češkomoravskahaaga;1
Črna;1
Črna Gora;1
Črno Grabno;1
Čungking;1
Šanghaj;1
Šelenberg;1
Šmarna Gora;1
Španija;1
Št. Lovrenc;1
