kraj;omembe
Monakovo;2
Moravska;1
Moskva;7
Mozirje;1
Murska Sobota;11
Naklo;1
Nem?ija;20
New York;6
Niš;1
Nizozemska/Holandija;1
Norveška;1
Nova Zelandija;2
Novi Sad;7
Novi Vrbas;1
Novo mesto;6
Obrenovec;1
Ogrska/Madžarska;9
Ohio;1
Ormož;3
Osjek;2
Ostrožno;1
Palovci;1
Pan?evo;1
Pariz;22
Pe?;1
Peking;1
Perzija;1
Peteljnik;1
Planina na Vipavskem;2
Pliberk;1
Podgora;1
Polhovgradec;1
Poljane pri Hrastniku;1
Polj?ane;1
Poljska;4
Poltava;1
Portugalska;1
Porurje;2
Posavje;1
Postojna;1
Prag pri Novem mestu;1
Praga;8
Prekmurje;10
Prijedor;1
Primorska;1
Pšata;1
Ptuj;5
Radomlje pri Kamniku;1
Radovljica;3
Rajhenburg;1
Rate?e na Gorenjskem;2
Reggio;1
Reka;2
Reka;1
Rheims;1
Ribnica;1
Ribno;1
Riga;1
Rim;31
Rimske Toplice;1
Romunija;16
Roviš?a pri Raki;1
Rusija/SZ;17
Šalovci;1
Sandžak;1
Sarajevo ;2
Savski Brod;1
Selnica ob Dravi;1
Senovo pri Rajhenburgu;1
Šentjanž;1
Šentjernej;1
Severna Amerika;3
Sevilla;1
Sevnica;1
Sežana;1
Šibenik;2
Sicilija;1
Singapur;2
Škofja Loka;1
Skopje;2
Slav. Brod;1
Slavonija;2
Šlezija;1
Slovaška;1
Slovenija;10
Šmarje pri Jelšah;1
Šmarjeta pri Krškem;1
Šmartno pri Slovenj Gradcu;1
Smlednik;2
Smolenja vas na Dolenjskem;1
Sofija;1
Solnograd;1
Solun;1
Sora;1
Šostanj;1
Španija;5
Split;6
Spodnje Jarše pri Domžalah;1
Spodnji Dravograd;1
Srbija;6
Središ?e;1
Srem;2
Št. Ožbalt;1
Št. Tomaž pri Celovcu;1
Štajerska;2
Stara Loka;2
Stockholm;1
Strajavas na Zili;1
Straža pri Dramljah;1
Stromboli;1
Struge;1
Studenci pri Mariboru;1
Šturje;1
Subotica;1
Suez;1
Sušak;4
Sv. Bolfenk v Slov. Goricah;1
Sv. Duh na Ostem Vrhu;1
Sv. Florjan pri Rogatcu;1
Sv. Gregorij;1
Sv. Jurij ob Š?avnici;1
Sv. Marjeta ob Pesnici;2
Sv. Martin na Pohorju;1
Sv. Tomaž pri Celovcu;1
Svetnavas;1
Švica;6
Teharje;1
Temešvar;1
Tirosek pri Gronjemgradu;1
Tolmin;1
Trata pri Poljanah;1
Trbovlje;2
Trebelno pri Mokronogu;1
Trojane pri Kamniku;1
Trst;8
Trst;2
Trži?;3
Tur?ija;8
Turniš?e;2
Ukrajina;1
Utah;1
Valjevo;1
Varšava;3
Vatikan;4
VB/Anglija;16
Velike Laš?e;1
Velikovec;1
Vestfalija;1
Vev?e;1
Videm;1
Vinica pri ?rnomlju;1
Vipava;2
Višnja Gora;2
Vojvodina;6
Vremski britof;1
Vukovar;1
Washington;5
Zader;2
Zagoreje ob Savi;1
Zagreb;32
Žakovci;1
Zalog;1
Zbelovo pri mariboru;1
ZDA/Amerika;25
Zemun;2
Ženavlje pri Petrovcih;1
Ženeva/Genova;1
Zidani most;1
Žitara vas;1
Žužemberk;1
