kraj;omembe
Afganistan;1
Afrika;2
Ajdovec;1
Ajdovš?ina;2
Alzacija;1
Andrijevica;1
Angora;2
Apa?e;2
Argentina;2
Atene;4
Av?e;1
Avellin;1
Avstralija;5
Avstrija;8
Azija;1
Ba?ka;1
Bakr?e;1
Balkan;2
Balkan;2
Banat;3
Barcelona;1
Belgija;4
Beljak;2
Beltinci ;1
Benetke;2
Beograd;100
Beranam;1
Berlin;10
Bern;3
Besarabija;7
Bistrica ob Zilji;1
Bitolje;1
Bjelo Polje;1
Bjelovar;1
Blato pri Grosupljem;1
Bogojina v Prekmurju;2
Bogojina v Prekmurju;1
Bohinj;1
Boka Kotarska;1
Bolgarija;7
Bosanska Gradiška;1
Bosna in Hercegovina;7
Bovec;2
Braslov?e;1
Brazilija;2
Brda;1
Brežice;3
Brezje;1
Brezovica;1
Brno;1
Brod;1
Bruck;1
Bruselj;1
Bu?e;1
Budimpešta;10
Budimpešta;1
Bukarešta;1
?akovec;2
Carigrad;5
Celje;10
Celovec;1
Celovec;1
Cerklje pri Kranju;1
Cerknica;1
?eškoslovaška;9
Chiusa;1
?ile;1
Cirkuše pri Zgornjem Tuhinju;1
Cremona;1
?rna Gora;4
?rna Gora;2
?rnomelj;3
Dalmacija;10
Danska;2
Dekani;1
Dobrna;1
Dobrovnik;2
Dobrovo;1
Dol. Logatec;1
Dolenjska;1
Dolnja Lendava;9
Domžale;1
Dornberg;2
Draga pri Višnji Gori;1
Dravlje;1
Dravograd;1
država SHS;1
Dubrovnik;4
Dunaj;16
Dutovlje;1
Egipt;2
Flandrija;1
Francija;21
Freže;1
Galicija;1
Genova;1
Gent;1
Gibraltar;1
Glince;1
Gor. Sv Kungota;1
Gora;1
Gorica;2
Gorica pri Radovljici;1
Goriška;1
Gorje na Gorenjeskem;1
Gra?ac ;1
Gradec;3
Gradiš?e;1
Grahovo pri cerknici;1
Gr?ija;1
Grebinje;1
Grosuplje;2
Guadalqivir;1
Haag;1
Hamburg;1
Hinje;1
Hodoš;1
Hotederš?ica;1
Hramše;1
Hrvaška;8
Indija;3
Inomost;1
Italija;24
Jagodina;1
Jagodina;1
Japonska;6
Jegovce pri Marijinem gradcu;1
Jeruzalem;1
Jesenice;3
Ježica;1
Jugoslavija;15
Julijska Bene?ija;1
Julijska Krajina;1
Kairo;2
Kamna Gorica;2
Kamnik;4
Kanada;1
Kapla;1
Karlovci;1
Karlovec;1
Katonara pri ?ernakalu pri Istri;1
Kitajska;4
Knin;2
Kobarid;1
Ko?evje;1
Kolašin;1
Konjice;1
Koper;1
Koroška;2
Koš?ice;1
Kostanjevica;1
Kozana;1
Kozje;2
Kranj;5
Kranjska Gora;1
Kropa;1
Krško;1
Lahore;1
Lajteršberg;1
Lancovo;1
Laško;2
lavantinska škofija;1
Ledenice;1
Leningrad;1
Libeli?e;1
Libu?e;1
Limbu?;1
Lipa pri Vrbskem jezeru;1
Litija;1
Ljubljana;39
Ljutomer;4
Logatec;1
Lokev;1
London;19
Loški potok;1
Louvain;1
Luksemburg;1
Madrid;1
Majšperg pri Pragerskem;1
Makedonija;1
Mala Azija;1
Mala Loka pri Domžalah;1
Mala Nedelja;1
Marezige;1
Maribor;29
Martijanci v Prekmurju;1
Matavun;1
Mehika;1
Mengeš;1
Metlika;1
Milano/Milan;4
Miren;1
Modunig;1
