kraj;omembe
Afrika;2
Ajdovš?ina;2
Albanija;2
Argentina;3
Atene;14
Avstralija;1
Avstrija;17
Balkan;6
Banat;2
Banjšice;2
Belgija;4
Bellinzona;4
Benetke/venetia;1
Beograd;160
Berlin;16
Besarabija;9
Bjelina;3
Bled;3
Bolgarija;11
Bosna in Hercegovina;18
Bovec;2
Brazilija;2
Brežice;1
Budimpešta;7
Bukarešta;3
Carigrad;2
Celje;23
?epovan;3
?eškoslovaška;24
?ile;2
?rna Gora;7
?rna Gora;1
?rnomelj;3
Dalmacija;12
Danska;1
Deskle;2
Dornberg;1
Dubrovnik;3
Dunaj;21
Francija;23
Galicija;2
Gorenji Obrenovec;3
Gorica;8
Gradec;3
Gr?ija/Helenska republika;6
Grosuplje;1
Hrvaška;13
Hvar;2
Idrija;3
Indija;1
Istra;2
Italija;23
Japonska;4
Jesenice;2
Jugoslavija;27
Julijska Krajina/Julijska Bene?ija;6
Kamnik;2
Kanada;2
Kanal ;3
Knin;1
Kobarid;5
Kojsko;2
Koroška;1
Kraljevina SHS;3
Kranj;3
Krško;2
Laško;1
Litija;2
Ljubljana;55
London;20
Makedonija;7
Maribor;25
Marseille;3
Medžimurje;3
Milano/Milan;7
Montagna;2
Moskva;8
Murska Sobota;1
Nem?ija;11
New York;1
Niš;3
Nova Zelandija;1
Novi Sad;6
Novo mesto;3
Ogrska/Madžarska;12
Ormož;1
Pariz;19
Parma;11
Planina na Vipavskem;2
Podgora;2
Poljska;7
Postojna;3
Praga;16
Prekmurje;2
Prva?ina;2
Ptuj;18
Radovljica;1
Reka;2
Rihemberk;2
Rim;30
Romunija;18
Rusija;21
Sarajevo ;5
Sevnica;3
Sežana;3
Slavonija;4
Slovenija;22
Slovenj Gradec;2
Sofija;8
Solkan;3
Šoštanj;2
Sovodnje;2
Španija;2
Split;3
Srbija;25
Srem;3
Štajerska;1
Sti?na;2
Subotica;4
Sušak;5
Sv. Križ pri Rogaški Slatini;2
Tokijo;3
Tolmin;8
Trbovlje;3
Trnovo;2
Trst;22
Trži?;1
Tur?ija;5
Varšava;1
Vatikan;2
VB/Anglija;11
Videm;3
Vipava;3
Vojvodina;4
Vol?e;2
Volosko;3
Washington;3
Zader;4
Zagorje;2
Zagreb;27
ZDA/Amerika;15
Zemun;3
Ženeva;7
