izvirno_ime;iskalno_ime;geonames_ime;drzava;country_code;lat;lon;geonames_id;status;opomba
Volovsko;Volosko;Volosko;Hrvaška;HR;45.35013;14.31645;3187413.0;ročno potrjeno;Volosko, Grad Opatija, Primorje-Gorski Kotar County, Hrvaška
Vršec;Vršec;Varshets;Bolgarija;BG;43.19356;23.2868;725623.0;ročno potrjeno;Varshets, Obshtina Varshets, Montana, Bolgarija
Zabukovca;Zabukovica;Zabukovica;Slovenija;SI;46.21408;15.15954;3186959.0;ročno potrjeno;Zabukovica, Občina Žalec, Slovenija
Zakresija;Zakres;Zakres;Albanija;AL;40.61667;19.63333;3183660.0;ročno potrjeno;Zakres, Bashkia Fier, Fier, Albanija
Zalog pri Faturju;Zalog;Zalog pod Sveto Trojico;Slovenija;SI;46.13423;14.67707;8987837.0;ročno potrjeno;Zalog pod Sveto Trojico, Občina Domžale, Slovenija
Zavodna pri Celju;Celje;Celje;Slovenija;SI;46.23092;15.26044;3202781.0;ročno potrjeno;Celje, Mestna občina Celje, Slovenija
Zidani Most;Zidani Most;Zidani Most;Slovenija;SI;46.08823;15.17284;3186469.0;ročno potrjeno;Zidani Most, Občina Laško, Slovenija
Zloselo;Zloselo;Zlosela;Bosna in Hercegovina;BA;43.99883;17.22289;3186381.0;ročno potrjeno;Zlosela, FBiH, Bosna in Hercegovina
Čatež pri Brežicah;Čatež;Čatež ob Savi;Slovenija;SI;45.88944;15.6025;3202844.0;ročno potrjeno;Čatež ob Savi, Občina Brežice, Slovenija
Čedad;Cividale;Cividale del Friuli;Italija;IT;46.09019;13.42861;3178605.0;ročno potrjeno;Cividale del Friuli, Udine, Furlanija - Julijska krajina, Italija
Čuprija;Čuprija;Ćuprija;Srbija;RS;43.9275;21.37;791678.0;ročno potrjeno;Ćuprija, Pomoravlje, Central Serbia, Srbija
Šentpeterska dolina;Žalec;Občina Žalec;Slovenija;SI;46.25508;15.1727;3186843.0;ročno potrjeno;Občina Žalec, Občina Žalec, Slovenija
Šiška;Šiška;Četrtna skupnost Šiška;Slovenija;SI;46.16667;14.43333;3196352.0;ročno potrjeno;Četrtna skupnost Šiška, Četrtna skupnost Šiška, Občina Medvode, Slovenija
Škale pri Velenju;Velenje;Mestna občina Velenje;Slovenija;SI;46.35719;15.11277;3189075.0;ročno potrjeno;Mestna občina Velenje, Mestna občina Velenje, Slovenija
Št. Jurij ob j. ž.;Šentjurij;Šentjurij na Dolenjskem;Slovenija;SI;45.87583;15.115;3191030.0;ročno potrjeno;Šentjurij na Dolenjskem, Občina Mirna Peč, Slovenija
Št. Lovrenc pod Prožinom pri Štorah;Štore;Občina Štore;Slovenija;SI;46.20111;15.32722;3239200.0;ročno potrjeno;Občina Štore, Občina Štore, Slovenija
Št. Pavel pri Preboldu;Prebold;Občina Prebold;Slovenija;SI;46.2173;15.09265;3344907.0;ročno potrjeno;Občina Prebold, Občina Prebold, Slovenija
Št. Vid pri Grobelnem;Šentvid;Šentvid pri Grobelnem;Slovenija;SI;46.22525;15.46053;3216450.0;ročno potrjeno;Šentvid pri Grobelnem, Občina Šmarje pri Jelšah, Slovenija
Švabska;Nemčija;Nemčija;Nemčija;DE;51.5;10.5;2921044.0;ročno potrjeno;Nemčija, Nemčija
Gjevgjelij;Gevgelija;Gevgelija;Severna Makedonija;MK;41.2;22.4;863854.0;ročno potrjeno;Gevgelija, Gevgelija, Severna Makedonija
Peloponez;Peloponnese;Peloponnese;Grčija;GR;37.5;22.33333;255620.0;ročno potrjeno;Peloponnese, Peloponnese, Grčija
Capacco;Češka;Češka;Češka;CZ;49.75;15.0;3077311.0;ročno potrjeno;Češka, Češka
Glince;Ljubljana;Ljubljana;Slovenija;SI;46.05108;14.50513;3196359.0;ročno potrjeno;Ljubljana, Mestna občina Ljubljana, Slovenija
Hudi potok;Šmartno ob Paki;Šmartno ob Paki;Slovenija;SI;46.33333;15.03333;3190498.0;ročno potrjeno;Šmartno ob Paki, Občina Šmartno ob Paki, Slovenija
Hudičekovo;Postojna;Postojna;Slovenija;SI;45.77435;14.21528;3192673.0;ročno potrjeno;Postojna, Občina Postojna, Slovenija
Kumrovo;Kumanovo;Kumanovo;Severna Makedonija;MK;42.13279;21.71585;788886.0;ročno potrjeno;Kumanovo, Kumanovo, Severna Makedonija
Lipaljaves;kanal;Občina Kanal ob Soči;Slovenija;SI;46.08972;13.64306;3239086.0;ročno potrjeno;Občina Kanal ob Soči, Občina Kanal ob Soči, Slovenija
Podrožnik;Mozirje;Občina Mozirje;Slovenija;SI;46.3612;14.95797;3194791.0;ročno potrjeno;Občina Mozirje, Občina Mozirje, Slovenija
Prežinska vas;Prožinska vas;Prožinska vas;Slovenija;SI;46.20892;15.34763;8986921.0;ročno potrjeno;Prožinska vas, Občina Štore, Slovenija
Vipota;Celje;Celje;Slovenija;SI;46.23092;15.26044;3202781.0;ročno potrjeno;Celje, Mestna občina Celje, Slovenija
Št. Ilje;Šentilj;Šentilj v Slovenskih goricah;Slovenija;SI;46.67921;15.65324;6956380.0;ročno potrjeno;Šentilj v Slovenskih goricah, Občina Šentilj, Slovenija
Žabnice;Camporosso;Camporosso;Italija;IT;43.8131;7.62829;3180927.0;ročno potrjeno;Camporosso, Provincia di Imperia, Ligurija, Italija
Župenje;Cerknica;Občina Cerknica;Slovenija;SI;45.8;14.36667;3202707.0;ročno potrjeno;Občina Cerknica, Občina Cerknica, Slovenija
Žutarek;Cmurek;Cmurek;Avstrija;AT;46.70806;15.77472;2771010.0;ročno potrjeno;Cmurek, Politischer Bezirk Südoststeiermark, Štajerska, Avstrija
Solun;Solun;Thessaloníki;Grčija;GR;40.64072;22.93493;734077.0;ročno potrjeno;Thessaloníki, Nomós Thessaloníkis, Osrednja Makedonija, Grčija
Boka;Boka;Boka;Kosovo;XK;42.56;20.28389;855506.0;ročno potrjeno;Boka, Kosovo
Tabor;Tabor;Občina Tabor;Slovenija;SI;46.22235;15.01434;3344904.0;ročno potrjeno;Občina Tabor, Občina Tabor, Slovenija
Batum;Batum;Batumi;Gruzija;GE;41.64077;41.6306;615532.0;ročno potrjeno;Batumi, Adžarija, Gruzija
Brač;Brač;Brač;Hrvaška;HR;43.32;16.63722;3203594.0;ročno potrjeno;Brač, Split-Dalmatia County, Hrvaška
Buja;Buja;Buja;Italija;IT;46.20662;13.11582;6534635.0;ročno potrjeno;Buja, Udine, Furlanija - Julijska krajina, Italija
Baker;Baker;Baker County;ZDA;US;30.33107;-82.28459;4146548.0;ročno potrjeno;Baker County, Baker, Florida, ZDA
Krakovo;Krakovo;Kraków;Poljska;PL;50.06143;19.93658;3094802.0;ročno potrjeno;Kraków, Krakov, Małopolskie, Poljska
Krašna;Krašnja;Krašnja;Slovenija;SI;46.16667;14.73333;3197348.0;ročno potrjeno;Krašnja, Občina Moravče, Slovenija
Leiteršperg;Leitersteig;Leitersteig;Avstrija;AT;47.73333;14.35;2598297.0;ročno potrjeno;Leitersteig, Zgornja Avstrija, Avstrija
Monte Carlo;Monte Carlo;Monte-Carlo;Monako;MC;43.73976;7.42732;2992741.0;ročno potrjeno;Monte-Carlo, Monako
Senovo;Senovo, Slovenija;Senovo;Slovenija;SI;46.02361;15.47694;3191044.0;ročno potrjeno;Senovo, Mestna občina Krško, Slovenija
Tebe;Tebe;Tebe;Egipt;EG;25.7;32.68333;347342.0;ročno potrjeno;Tebe, Luxor, Egipt
