izvirno_ime;iskalno_ime;geonames_ime;drzava;country_code;lat;lon;geonames_id;status;opomba
Log pri Studencu;Studenec;Studenec na Blokah;Slovenija;SI;45.76417;14.53361;3218699.0;ročno potrjeno;Studenec na Blokah, Občina Bloke, Slovenija
Makole pri Slovenski Bistrici;Makole;Makole;Slovenija;SI;46.31638;15.66632;3195883.0;ročno potrjeno;Makole, Občina Makole, Slovenija
Mačva;Mačva;Mačva;Srbija;RS;44.76667;19.5;3195963.0;ročno potrjeno;Mačva, Srbija
Mline;Mlin;;;;;;;ni razrešeno;noben kandidat ni bil pravilen
Moedling pri Dunaju;Dunaj;Dunaj;Avstrija;AT;48.20849;16.37208;2761369.0;ročno potrjeno;Dunaj, Wien Stadt, Dunaj, Avstrija
Molinja vas pri Novem mestu;Novo mesto;Novo mesto;Slovenija;SI;45.80397;15.16886;3194351.0;ročno potrjeno;Novo mesto, Mestna občina Novo mesto, Slovenija
Moravče;Moravče;Moravče;Slovenija;SI;46.13694;14.745;3194873.0;ročno potrjeno;Moravče, Občina Moravče, Slovenija
Mošnje pri Radovljici;Mošnje;Mošnje;Slovenija;SI;46.33481;14.2109;3194839.0;ročno potrjeno;Mošnje, Občina Radovljica, Slovenija
Niš;Niš;Niš;Srbija;RS;43.32472;21.90333;787657.0;ročno potrjeno;Niš, Nišava, Central Serbia, Srbija
Obrenovec;Obrenovac;Obrenovac;Srbija;RS;44.65486;20.20017;787516.0;ročno potrjeno;Obrenovac, Belgrade, Central Serbia, Srbija
Opatija;Opatija;Opatija;Hrvaška;HR;45.33658;14.30782;3194099.0;ročno potrjeno;Opatija, Grad Opatija, Primorje-Gorski Kotar County, Hrvaška
Ostrožno;Ostrožno;Ostrožno pri Ločah;Slovenija;SI;46.28404;15.48324;8989161.0;ročno potrjeno;Ostrožno pri Ločah, Občina Slovenske Konjice, Slovenija
Ovće polje;Ovće polje;Овче Поле;Severna Makedonija;MK;41.84722;22.02667;787289.0;ročno potrjeno;Овче Поле, Severna Makedonija
Panamski prekop;Panama;Panama;Panama;PA;9.0;-80.0;3703430.0;ročno potrjeno;Panama, Panama
Perugija;Peruggia;Perugia;Italija;IT;43.1122;12.38878;3171180.0;ročno potrjeno;Perugia, Provincia di Perugia, Umbrija, Italija
Pesnica;Pesnica;Občina Pesnica;Slovenija;SI;46.62583;15.71278;3239215.0;ročno potrjeno;Občina Pesnica, Občina Pesnica, Slovenija
Podenzana v Toscani;Podenzana;Podenzana;Italija;IT;44.20625;9.94199;3170538.0;ročno potrjeno;Podenzana, Provincia di Massa-Carrara, Toskana, Italija
Podgorica;Podgorica;Podgorica;Črna gora;ME;42.44124;19.26309;3193044.0;ročno potrjeno;Podgorica, Podgorica, Črna gora
Podgrad pri Novem mestu;Podgrad;Podgrad;Slovenija;SI;45.73333;15.2;3193025.0;ročno potrjeno;Podgrad, Mestna občina Novo mesto, Slovenija
Ponikva;Ponikva;Ponikva pri Žalcu;Slovenija;SI;46.31222;15.14194;3192748.0;ročno potrjeno;Ponikva pri Žalcu, Občina Žalec, Slovenija
Pontabelj;Italija;Italija;Italija;IT;42.83333;12.83333;3175395.0;ročno potrjeno;Italija, Italija
Poruhrje;Nemčija;Nemčija;Nemčija;DE;51.5;10.5;2921044.0;ročno potrjeno;Nemčija, Nemčija
Povocetto;Italija;Italija;Italija;IT;42.83333;12.83333;3175395.0;ročno potrjeno;Italija, Italija
Povodje pri Skaručni;Povodje;Povodje;Slovenija;SI;46.14284;14.47968;8989167.0;ročno potrjeno;Povodje, Občina Vodice, Slovenija
Požega;Požega;Požega;Hrvaška;HR;45.34028;17.68528;3190589.0;ročno potrjeno;Požega, Grad Požega, Požega-Slavonia County, Hrvaška
Prapreče;Prapreče;Prapreče;Slovenija;SI;46.24132;14.92985;8987460.0;ročno potrjeno;Prapreče, Občina Vransko, Slovenija
Prekorja pri Vojniku;Vojnik;Vojnik;Slovenija;SI;46.29328;15.3036;3187448.0;ročno potrjeno;Vojnik, Občina Vojnik, Slovenija
